category,metric_id,numerator,denominator,rate,ci_low,ci_high,cluster_count,ci_method,resampling_unit,bootstrap_replicates,bootstrap_seed,experiment_hash,domain_calibration_hash,stage,mode,git_head_at_run,git_branch_at_run,git_dirty_at_run,source_tree_hash,configuration_hash,matlab_version,platform,computer_arch,use_parallel,worker_count,run_command,start_time_utc,runtime_environment_hash,end_time_utc,runtime_s,selected_method,frozen_topology_experiment_hash,frozen_topology_calibration_hash
exact_lower_boundary,topology_truth_coverage,83,87,0.954022988505747,0.896551724137931,0.988505747126437,87,cluster_percentile_bootstrap_v1,candidate_id_cluster,1000,20263172,2f64ea9c31f531221c10c19088a0c0f6d293a66f4391acb10bfac41ca1a014d5,6a33b14885b042a944b41d8f6c913e318c83d45e81fd09b184aacb348f13f5c2,Stage 4A Freeze-R.1,smoke,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,3e0fa27a0f28e9c54bb6d0fd53abfdc3e8dd919792d8c7cd998c0207ce1e9689,8c862ed3c0ec412bf713d8c031f549be82ec82cc5ca2bb281aff77f43804d3aa,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'smoke')",2026-09-09T12:24:08.484Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,2026-09-09T12:25:54.132Z,105.781191,profile_relative_distance,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
exact_lower_boundary,domain_acceptance,82,87,0.942528735632184,0.896551724137931,0.988505747126437,87,cluster_percentile_bootstrap_v1,candidate_id_cluster,1000,20263202,2f64ea9c31f531221c10c19088a0c0f6d293a66f4391acb10bfac41ca1a014d5,6a33b14885b042a944b41d8f6c913e318c83d45e81fd09b184aacb348f13f5c2,Stage 4A Freeze-R.1,smoke,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,3e0fa27a0f28e9c54bb6d0fd53abfdc3e8dd919792d8c7cd998c0207ce1e9689,8c862ed3c0ec412bf713d8c031f549be82ec82cc5ca2bb281aff77f43804d3aa,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'smoke')",2026-09-09T12:24:08.484Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,2026-09-09T12:25:54.132Z,105.781191,profile_relative_distance,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
exact_lower_boundary,domain_rejection,5,87,0.0574712643678161,0.0114942528735632,0.103448275862069,87,cluster_percentile_bootstrap_v1,candidate_id_cluster,1000,20263232,2f64ea9c31f531221c10c19088a0c0f6d293a66f4391acb10bfac41ca1a014d5,6a33b14885b042a944b41d8f6c913e318c83d45e81fd09b184aacb348f13f5c2,Stage 4A Freeze-R.1,smoke,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,3e0fa27a0f28e9c54bb6d0fd53abfdc3e8dd919792d8c7cd998c0207ce1e9689,8c862ed3c0ec412bf713d8c031f549be82ec82cc5ca2bb281aff77f43804d3aa,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'smoke')",2026-09-09T12:24:08.484Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,2026-09-09T12:25:54.132Z,105.781191,profile_relative_distance,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
exact_lower_boundary,singleton_rate,21,87,0.241379310344828,0.160919540229885,0.333333333333333,87,cluster_percentile_bootstrap_v1,candidate_id_cluster,1000,20263262,2f64ea9c31f531221c10c19088a0c0f6d293a66f4391acb10bfac41ca1a014d5,6a33b14885b042a944b41d8f6c913e318c83d45e81fd09b184aacb348f13f5c2,Stage 4A Freeze-R.1,smoke,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,3e0fa27a0f28e9c54bb6d0fd53abfdc3e8dd919792d8c7cd998c0207ce1e9689,8c862ed3c0ec412bf713d8c031f549be82ec82cc5ca2bb281aff77f43804d3aa,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'smoke')",2026-09-09T12:24:08.484Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,2026-09-09T12:25:54.132Z,105.781191,profile_relative_distance,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
exact_lower_boundary,empty_set_rate,0,87,0,0,0,87,cluster_percentile_bootstrap_v1,candidate_id_cluster,1000,20263292,2f64ea9c31f531221c10c19088a0c0f6d293a66f4391acb10bfac41ca1a014d5,6a33b14885b042a944b41d8f6c913e318c83d45e81fd09b184aacb348f13f5c2,Stage 4A Freeze-R.1,smoke,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,3e0fa27a0f28e9c54bb6d0fd53abfdc3e8dd919792d8c7cd998c0207ce1e9689,8c862ed3c0ec412bf713d8c031f549be82ec82cc5ca2bb281aff77f43804d3aa,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'smoke')",2026-09-09T12:24:08.484Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,2026-09-09T12:25:54.132Z,105.781191,profile_relative_distance,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
exact_lower_boundary,in_domain_parameter_acceptance,82,87,0.942528735632184,0.885057471264368,0.988505747126437,87,cluster_percentile_bootstrap_v1,candidate_id_cluster,1000,20263322,2f64ea9c31f531221c10c19088a0c0f6d293a66f4391acb10bfac41ca1a014d5,6a33b14885b042a944b41d8f6c913e318c83d45e81fd09b184aacb348f13f5c2,Stage 4A Freeze-R.1,smoke,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,3e0fa27a0f28e9c54bb6d0fd53abfdc3e8dd919792d8c7cd998c0207ce1e9689,8c862ed3c0ec412bf713d8c031f549be82ec82cc5ca2bb281aff77f43804d3aa,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'smoke')",2026-09-09T12:24:08.484Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,2026-09-09T12:25:54.132Z,105.781191,profile_relative_distance,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
exact_lower_boundary,mean_candidate_set_size,391,87,4.49425287356322,NaN,NaN,87,,,0,0,2f64ea9c31f531221c10c19088a0c0f6d293a66f4391acb10bfac41ca1a014d5,6a33b14885b042a944b41d8f6c913e318c83d45e81fd09b184aacb348f13f5c2,Stage 4A Freeze-R.1,smoke,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,3e0fa27a0f28e9c54bb6d0fd53abfdc3e8dd919792d8c7cd998c0207ce1e9689,8c862ed3c0ec412bf713d8c031f549be82ec82cc5ca2bb281aff77f43804d3aa,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'smoke')",2026-09-09T12:24:08.484Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,2026-09-09T12:25:54.132Z,105.781191,profile_relative_distance,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
exact_upper_boundary,topology_truth_coverage,86,87,0.988505747126437,0.96551724137931,1,87,cluster_percentile_bootstrap_v1,candidate_id_cluster,1000,20263173,2f64ea9c31f531221c10c19088a0c0f6d293a66f4391acb10bfac41ca1a014d5,6a33b14885b042a944b41d8f6c913e318c83d45e81fd09b184aacb348f13f5c2,Stage 4A Freeze-R.1,smoke,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,3e0fa27a0f28e9c54bb6d0fd53abfdc3e8dd919792d8c7cd998c0207ce1e9689,8c862ed3c0ec412bf713d8c031f549be82ec82cc5ca2bb281aff77f43804d3aa,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'smoke')",2026-09-09T12:24:08.484Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,2026-09-09T12:25:54.132Z,105.781191,profile_relative_distance,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
exact_upper_boundary,domain_acceptance,82,87,0.942528735632184,0.885057471264368,0.988505747126437,87,cluster_percentile_bootstrap_v1,candidate_id_cluster,1000,20263203,2f64ea9c31f531221c10c19088a0c0f6d293a66f4391acb10bfac41ca1a014d5,6a33b14885b042a944b41d8f6c913e318c83d45e81fd09b184aacb348f13f5c2,Stage 4A Freeze-R.1,smoke,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,3e0fa27a0f28e9c54bb6d0fd53abfdc3e8dd919792d8c7cd998c0207ce1e9689,8c862ed3c0ec412bf713d8c031f549be82ec82cc5ca2bb281aff77f43804d3aa,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'smoke')",2026-09-09T12:24:08.484Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,2026-09-09T12:25:54.132Z,105.781191,profile_relative_distance,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
exact_upper_boundary,domain_rejection,5,87,0.0574712643678161,0.0114942528735632,0.114942528735632,87,cluster_percentile_bootstrap_v1,candidate_id_cluster,1000,20263233,2f64ea9c31f531221c10c19088a0c0f6d293a66f4391acb10bfac41ca1a014d5,6a33b14885b042a944b41d8f6c913e318c83d45e81fd09b184aacb348f13f5c2,Stage 4A Freeze-R.1,smoke,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,3e0fa27a0f28e9c54bb6d0fd53abfdc3e8dd919792d8c7cd998c0207ce1e9689,8c862ed3c0ec412bf713d8c031f549be82ec82cc5ca2bb281aff77f43804d3aa,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'smoke')",2026-09-09T12:24:08.484Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,2026-09-09T12:25:54.132Z,105.781191,profile_relative_distance,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
